username,content,date
cnnbrk,"Suspected foreign hackers have targeted sensitive data at multiple US defense contractors, a security company tells CNN
https://t.co/3vSFJn2IFo",2021-11-08 01:12:14+00:00
cnnbrk,"A missing girl from North Carolina was rescued after she signaled for help using a hand gesture she learned on TikTok, police say. A motorist recognized the gesture and called police.
https://t.co/r27x0jjXhO",2021-11-07 22:08:08+00:00
cnnbrk,"Marvel's ""Eternals,"" widely panned by critics, earns $71 million in its domestic debut -- the fourth-highest opening of the pandemic era
https://t.co/LR837qpifm",2021-11-07 18:56:07+00:00
cnnbrk,"Albert Korir of Kenya wins the men's race in the New York City Marathon. Peres Jepchirchir, also of Kenya, won the women's competition.
https://t.co/qzPsW5Oxdo",2021-11-07 17:08:15+00:00
cnnbrk,"British vocalist and founding member of UB40 Terence Wilson, better known by his stage name Astro, has died after a short illness https://t.co/o2i4uPwzwj",2021-11-07 09:16:07+00:00
cnnbrk,"A federal court temporarily blocks President Biden's mandate that could require workers at some companies to be vaccinated against Covid-19
https://t.co/y1d1wBt892",2021-11-06 20:38:21+00:00
cnnbrk,"Prevea Health and spokesman Aaron Rodgers are ending their partnership after the NFL star said he's unvaccinated against Covid-19
https://t.co/FkzFLkRnh3",2021-11-06 19:21:14+00:00
cnnbrk,"Houston officials set up a hotline for those who haven't been able to reach attendees of Astroworld Festival, where at least eight people died. Follow live updates.
https://t.co/5RwBSHJHAq",2021-11-06 12:38:32+00:00
cnnbrk,At least 84 people died after a fuel tanker exploded in a suburb of Sierra Leone's capital https://t.co/06MikhvUyO,2021-11-06 07:28:11+00:00
cnnbrk,"At least eight people have died and many others were injured at the Houston-area Astroworld music festival, local authorities say https://t.co/nOpEPBO2LN",2021-11-06 07:16:34+00:00
cnnbrk,"In a big win for President Biden's agenda, the House finally passed the infrastructure bill after months of messy negotiations
https://t.co/8HN2B3EhWx",2021-11-06 03:32:42+00:00
cnnbrk,"Brazilian country music star Marília Mendonça died in a plane crash in a rural region of Minas Gerais, according to her PR firm
https://t.co/y48vKR8bWK",2021-11-06 00:26:17+00:00
cnnbrk,"Rapper Fetty Wap, who was arrested on a drug trafficking charge last week, is being released from custody on $500,000 bond
https://t.co/1n6LNF3eIG",2021-11-05 22:47:07+00:00
cnnbrk,"Former New York Gov. Andrew Cuomo's arraignment on a count of forcible touching has been postponed following a request from the Albany district attorney
https://t.co/OZTDaOiWys",2021-11-05 20:53:32+00:00
cnnbrk,"Republican Ed Durr will defeat Democratic state Sen. Steve Sweeney, the Senate president, in New Jersey's state Senate district 3, CNN projects
https://t.co/Nha3D1sQhr",2021-11-05 19:22:55+00:00
cnnbrk,"The US economy added 531,000 jobs in October, signaling a strong rebound from a disappointing summer
https://t.co/nKazC2MtJF",2021-11-05 12:36:56+00:00
cnnbrk,Pfizer says its experimental pill designed to fight Covid-19 reduced the risk of hospitalization and death for high-risk patients by about 89% https://t.co/0g59naHpY4,2021-11-05 10:52:33+00:00
cnnbrk,"LGBTQ advocates filed a federal lawsuit seeking to overturn Tennessee's anti-trans sports ban, which they say violates the constitutional rights of a trans high school athlete
https://t.co/cGrP8RGMd4",2021-11-05 00:59:59+00:00
cnnbrk,"Democrats will lose full control of Virginia's House of Delegates, CNN projects, another blow to the party after Republicans swept top offices
https://t.co/QOkAHK6w8u",2021-11-05 00:20:20+00:00
cnnbrk,"A hotel in Mexico popular with American tourists descended into chaos during a deadly confrontation between drug dealers on a nearby beach, authorities said
https://t.co/29DtGineMA",2021-11-04 23:17:41+00:00
cnnbrk,"The Justice Department is suing Texas over new voting restrictions the federal government says will disenfranchise eligible voters
https://t.co/b8EpSwTJ0w",2021-11-04 21:05:09+00:00
cnnbrk,"A Texas real estate agent who previously claimed she was ""definitely not going to jail"" for storming the US Capitol on Jan. 6 was sentenced to 60 days behind bars
https://t.co/kLX46njtVp",2021-11-04 19:13:18+00:00
cnnbrk,"A 16-year-old Georgia student who was shot in the head while waiting for a school bus has died, police said
https://t.co/oPSeXeejs5",2021-11-04 18:41:33+00:00
cnnbrk,"An analyst who was a source for the infamous Trump dossier has been arrested as part of the probe into the origins of the FBI's Russia investigation
https://t.co/LZIoQerLMg",2021-11-04 15:55:59+00:00
cnnbrk,"A juror was dismissed in Kyle Rittenhouse's trial after making a joke to a deputy about Jacob Blake, a Black man who was shot by Kenosha police
https://t.co/FVXBLmok3B",2021-11-04 15:43:55+00:00
cnnbrk,"Democratic Sen. Joe Manchin objects to House Speaker Nancy Pelosi's decision to add paid family and medical leave back into Biden's $1.75T economic package
https://t.co/YtG5wnLRot",2021-11-04 14:28:46+00:00
cnnbrk,"Biden administration announces new vaccine rules for large employers, certain health care workers and federal contractors will take effect January 4
https://t.co/ySgR3tjid1",2021-11-04 12:49:25+00:00
cnnbrk,Police in Western Australia have charged a man in relation to the kidnapping of 4-year-old Cleo Smith https://t.co/hSPUheP1Oo,2021-11-04 09:22:28+00:00
